lat	lon	title	description	icon	iconSize	iconOffset
49.61581	8.87401 	Spessartkopf	<h3> <font size="1" color="black" face="Trebuchet MS, Geneva, Arial, Helvetica, SunSans-Regular, sans-serif">Kilometer: 0,7<br>Gesamtkilometer: 40,7<br>Zeit: 0:20<br>Höhe: 547 </h3>   Der Spessartkopf wird im Nibelungenlied als der Ort, an dem die Burgunder Vorräte gelagert hatten, erwähnt. Für den Darmstädter Staatsrat Knapp war dies ein weiterer Beweis für die Richtigkeit seiner These, dass Siegfried in Grasellenbach ermordet worden sein soll. Für Kritiker dieser These gilt dies allerdings als Beleg des Gegenteils. Nach ihrer Argumentation hätte Siegfried doch eher den oberhalb der Quelle gelegenen Wein getrunken, als sich mit Quellwasser zu begnügen.  </p></font>	punkt.gif	10,10	-0,-0
49.60674	8.88903 	Rotes Wasser	<h3> <font size="1" color="black" face="Trebuchet MS, Geneva, Arial, Helvetica, SunSans-Regular, sans-serif">Kilometer: 1,8<br>Gesamtkilometer: 42,5<br>Zeit: 0:30<br>Höhe: 435 </h3>   Die in dem Naturschutzgebiet „Rotes Wasser“ vorkommenden Braunalgen, die an manchen Stellen rostbraun schimmern, haben diesem Gebiet ihren Namen gegeben. Hier findet sich eine für den Odenwald einzigartige Flora, die mit der in den nordischen Tundren vergleichbar ist. Das Torf ist bis zu 1,10 m mächtig, darunter lagert Ton, der die Wasserversickerung verhindert. Auf den Torfmoospolstern wachsen die feinblättrigen Ranken der Moosbeere, der rundblättrige Sonnentau, der Siebenstern und das Wollgras.  </p></font>	punkt.gif	10,10	-0,-0
49.59915	8.90019 	Olfener Höhe	<h3> <font size="1" color="black" face="Trebuchet MS, Geneva, Arial, Helvetica, SunSans-Regular, sans-serif">Kilometer: 1,4<br>Gesamtkilometer: 43,9<br>Zeit: 0:30<br>Höhe: 475 </h3>   Auf der Olfener Höhe rentiert es sich, einen kleinen Abstecher zum Olfener Bild zu machen. Dieser alte Bildstock mit leerer Nische (vermutlich aus dem 16. Jh.) steht an einem alten Wallfwahrtsweg zum Heilig-Blut-Altar in Walldürn. Hier sammelten sich die Wallfahrer zum Gebet vor ihrem Etappenziel an der Quellkirche in Güttersbach.  </p></font>	punkt.gif	10,10	-0,-0
49.62115	8.98383 	Marbach-Stausee	<h3> <font size="1" color="black" face="Trebuchet MS, Geneva, Arial, Helvetica, SunSans-Regular, sans-serif">Kilometer: 9,2<br>Gesamtkilometer: 53,1<br>Zeit: 2:45<br>Höhe: 275 </h3>   Der Marbach-Stausee wurde in den Jahren 1978 bis 1982 vom zuständigen Wasserverband zur Regulierung der Mümling und ihrer Nebenbäche errichtet. Der Erdstaudamm hat eine Höhe von 18 m, eine obere Breite von 9 m und eine Länge von 150 m. Die Wasserabgabe erfolgt über ein im Talgrund verlegtes Rohrleitungssystem. Ein Überlaufturm dient als Sicherheitseinrichtung. Seit 1993 erzeugt eine Turbinenanlage jährlich rund 360 000 Kilowatt Strom. Der Stausee ist in drei Zonen eingeteilt: Der westliche Teil am Zulauf mit einer kleinen Insel gilt als Pflanzen- und Vogelschutzgebiet und dient auch der Aufzucht von Fischen. Der mittlere Teil wird als Badesee genutzt und der östliche Teil bis zur Staumauer ist den Surfern vorbehalten.  </p></font>	punkt.gif	10,10	-0,-0
49.62115	8.98383 	Heumatte	<h3> <font size="1" color="black" face="Trebuchet MS, Geneva, Arial, Helvetica, SunSans-Regular, sans-serif">Kilometer: 2,6<br>Gesamtkilometer: 55,7<br>Zeit: 0:50<br>Höhe: 340 </h3>       </p></font>	punkt.gif	10,10	-0,-0
49.60329	8.99309 	Himbaechel Viadukt	<h3> <font size="1" color="black" face="Trebuchet MS, Geneva, Arial, Helvetica, SunSans-Regular, sans-serif">Kilometer: 2,7<br>Gesamtkilometer: 58,4<br>Zeit: 0:45<br>Höhe: 280 </h3>   Im Jahre 1868 fiel eine Entscheidung, eine Bahnlinie durch den hessischen Odenwald zu bauen. Das Teilstück von Erbach nach Kailbach stellte an die Baugesellschaft ganz besondere Herausforderungen. Wegen des starken Gefälles der Mümling musste die Trasse am Berghang entlang gebaut werden, wobei Seitentäler überbrückt werden mussten. Dieser Umstand verlieh der Odenwaldbahn in diesem Abschnitt den Charakter einer Gebirgsbahn. So musste auf einer Länge von 7 Kilometern eine Steigung im Verhältnis 1:75 beibehalten werden. Zur Überbrückung des Himbächel war daher ein Viadukt von 250 m Länge und 43 m Maximalhöhe notwendig. Errichtet wurde das Viadukt innerhalb von 13 Monaten zwischen 1880 und 1881. Der Bau dieses Viaduktes gehörte zu den höchsten und kühnsten der bisher ausgeführten Bahnkonstruktionen Deutschlands.   </p></font>	punkt.gif	10,10	-0,-0
49.60740	9.02336 	Ebersberger Felsenmeer	<h3> <font size="1" color="black" face="Trebuchet MS, Geneva, Arial, Helvetica, SunSans-Regular, sans-serif">Kilometer: 5,3<br>Gesamtkilometer: 62,7<br>Zeit: 1:30<br>Höhe: 555 </h3>   Im Buntsandstein-Odenwald sind Felsenmeere weitaus seltener als im kristallinen Odenwald. Die mächtigen Buntsandsteinfelsen erreichen eine Breite von bis zu 5 m und eine Höhe von über 2 m. Diese Felsblöcke sind das Ergebnis eines jahrmillionen andauernden Verwitterungsprozesses. Die gewaltigen Sandablagerungen vor über 200 Millionen Jahren haben sich im Laufe der Zeit zu Steinschichten unterschiedlicher Härte verdichtet. Die weicheren Schichten verwitterten schneller als die härteren. So entstanden Hohlräume, die in sich zusammenbrachen und so die Felsenmeere bildeten.  </p></font>	punkt.gif	10,10	-0,-0
49.60745	9.03996 	Rutschstein	<h3> <font size="1" color="black" face="Trebuchet MS, Geneva, Arial, Helvetica, SunSans-Regular, sans-serif">Kilometer: 2,0<br>Gesamtkilometer: 64,7<br>Zeit: 0:35<br>Höhe: 470 </h3>   Der Rutschstein ist ein schräg stehender, mächtiger Buntsandsteinblock, der in der Mitte von oben nach unten durchgehend zwei parallel verlaufende Vertiefungen hat, die etwa 20 cm breit sind (im Volksmund wurden diese als „Rutschspuren“ bezeichnet). In früheren Zeiten wurden hier vermutlich heidnische Riten vollzogen.  </p></font>	punkt.gif	10,10	-0,-0
49.56714	9.06993 	Schöllenbach	<h3> <font size="1" color="black" face="Trebuchet MS, Geneva, Arial, Helvetica, SunSans-Regular, sans-serif">Kilometer: 6,3<br>Gesamtkilometer: 71,0<br>Zeit: 1:45<br>Höhe: 290 </h3>   Es wird vermutet, dass sich die ersten Siedler schon im frühen Mittelalter in Schöllenbach niedergelassen und an der Stelle eines vorchristlichen Quellheiligtums eine Kapelle errichtet haben. Schon bald wurde dieses Kapellchen Ziel zahlreicher Wallfahrten, da dem Quellwasser eine besonders bei Augenleiden heilkräftige Wirkung zugesprochen wurde. Im Jahre 1465 ließ Schenk Philipp IV. von Erbach die kleine Kapelle durch eine dreischiffige gotische Wallfahrtskirche ersetzen. Nach Einführung der Reformation wurden die Wallfahrten untersagt und die Pfarrstelle aufgegeben. So setzte allmählich der Verfall der Kirche ein. 1780 wurden sowohl die Mauern des Langhauses als auch der Kirchturm abgerissen und der stehen gebliebene Chor der Kirche neu bedacht. Das einstige Portal blieb als Eingangstor zum Kirchengarten erhalten, die Kanzel wurde auf einer Arkadensäule des ehemaligen Langhauses angebracht und eine Kopie vom früheren Altar stellte man in dem Kirchlein auf. Der noch immer als heilkräftig angesehene Kirchbrunnen dient bis heute dem Grafenhaus Erbach und den Schöllenbachern als Taufwasser. Darüber hinaus wird es von vielen Einwohnern bei Unwohlsein als Heilwasser benutzt.  </p></font>	punkt.gif	10,10	-0,-0
49.57450	9.08792 	Hesselbach	<h3> <font size="1" color="black" face="Trebuchet MS, Geneva, Arial, Helvetica, SunSans-Regular, sans-serif">Kilometer: 1,8<br>Gesamtkilometer: 72,8<br>Zeit: 0:50<br>Höhe: 480 </h3>   In früheren Jahrhunderten war Hesselbach ein bekannter und vielbesuchter Wallfahrtsort. Urkundlich wird Hesselbach erstmals im Jahre 1334 genannt, als Irmengard von Auerbach (Elztal) ihren Anteil am Zehnten und an der Gült auf dem Wolzin-Gut in Hesselbach dem Kloster Amorbach verkauft. <br>Im Mittelalter wurde der kleine Ort durch seine bei Augenleiden, Kopf- und Kindererkrankungen als heilkräftig angesehenen Quelle bekannt. Um 1400 erbauten Benediktinermönche über der Quelle eine kleine Kapelle und weihten sie der heiligen Odilia, der Schutzpatronin für Augenleiden. Kapelle und Quelle wurden Ziel zahlreicher Wallfahrten. Im Dreißigjährigen Krieg wurde Hesselbach verwüstet und niemand überlebte. Doch bald nach dem Krieg wurde das Kirchlein wieder aufgebaut, und die Wallfahrten setzten erneut ein. Im 18. Jahrhundert war das Kirchlein baufällig geworden. Daher baten 1763 die Schultheißen von Hesselbach den Abt von Amorbach, in Hesselbach eine neue Kirche zu bauen. 1765 wurde die kleine Kapelle abgerissen, die Quelle etwas unterhalb des Kirchenneubaues neu gefasst, und schon 1766 konnte die im Bauernbarock neu errichtete Pfarrkirche St. Luzia und Odilia eingeweiht werden.  </p></font>	punkt.gif	10,10	-0,-0
